CVE_Description,TTP_ID
ip_input.c in BSD-derived TCP/IP implementations allows remote attackers to cause a denial of service (crash or hang) via crafted packets.,T2081
ip_input.c in BSD-derived TCP/IP implementations allows remote attackers to cause a denial of service (crash or hang) via crafted packets.,T2149
ip_input.c in BSD-derived TCP/IP implementations allows remote attackers to cause a denial of service (crash or hang) via crafted packets.,T2247
Information from SSL-encrypted sessions via PKCS #1.,T2149
Information from SSL-encrypted sessions via PKCS #1.,T1628
ScriptAlias directory in NCSA and Apache httpd allowed attackers to read CGI programs.,T1756
ScriptAlias directory in NCSA and Apache httpd allowed attackers to read CGI programs.,T1653
ScriptAlias directory in NCSA and Apache httpd allowed attackers to read CGI programs.,T1625
ICMP redirect messages may crash or lock up a host.,T1628
ICMP redirect messages may crash or lock up a host.,T1607
ICMP redirect messages may crash or lock up a host.,T2193
IIS ASP caching problem releases sensitive information when two virtual servers share the same physical directory.,T2134
IIS ASP caching problem releases sensitive information when two virtual servers share the same physical directory.,T1691
IIS ASP caching problem releases sensitive information when two virtual servers share the same physical directory.,T1752
"In some cases, Service Pack 4 for Windows NT 4.0 can allow access to network shares using a blank password, through a problem with a null NT hash value.",T2047
"In some cases, Service Pack 4 for Windows NT 4.0 can allow access to network shares using a blank password, through a problem with a null NT hash value.",T2134
"In some cases, Service Pack 4 for Windows NT 4.0 can allow access to network shares using a blank password, through a problem with a null NT hash value.",T1833
The installer for BackOffice Server includes account names and passwords in a setup file (reboot.ini) which is not deleted.,T2134
The installer for BackOffice Server includes account names and passwords in a setup file (reboot.ini) which is not deleted.,T1691
The installer for BackOffice Server includes account names and passwords in a setup file (reboot.ini) which is not deleted.,T1752
OpenSSL and SSLeay allow remote attackers to reuse SSL sessions and bypass access controls.,T1833
OpenSSL and SSLeay allow remote attackers to reuse SSL sessions and bypass access controls.,T2134
OpenSSL and SSLeay allow remote attackers to reuse SSL sessions and bypass access controls.,T2070
"An attacker can identify a CISCO device by sending a SYN packet to port 1999, which is for the Cisco Discovery Protocol (CDP).",T2134
"An attacker can identify a CISCO device by sending a SYN packet to port 1999, which is for the Cisco Discovery Protocol (CDP).",T1691
"An attacker can identify a CISCO device by sending a SYN packet to port 1999, which is for the Cisco Discovery Protocol (CDP).",T1752
The prompt parsing in bash allows a local user to execute commands as another user by creating a directory with the name of the command to execute.,T2208
The prompt parsing in bash allows a local user to execute commands as another user by creating a directory with the name of the command to execute.,T1607
"Perl, sh, csh, or other shell interpreters are installed in the cgi-bin directory on a WWW site, which allows remote attackers to execute arbitrary commands.",T2208
"Perl, sh, csh, or other shell interpreters are installed in the cgi-bin directory on a WWW site, which allows remote attackers to execute arbitrary commands.",T1607
ICMP information such as (1) netmask and (2) timestamp is allowed from arbitrary hosts.,T1803
ICMP information such as (1) netmask and (2) timestamp is allowed from arbitrary hosts.,T2134
ICMP information such as (1) netmask and (2) timestamp is allowed from arbitrary hosts.,T1691
ICMP information such as (1) netmask and (2) timestamp is allowed from arbitrary hosts.,T1752
"An incorrect configuration of the EZMall 2000 shopping cart  CGI program ""mall2000.cgi"" could disclose private information.",T2134
"An incorrect configuration of the EZMall 2000 shopping cart  CGI program ""mall2000.cgi"" could disclose private information.",T1691
"An incorrect configuration of the EZMall 2000 shopping cart  CGI program ""mall2000.cgi"" could disclose private information.",T1752
"Windows NT Terminal Server performs extra work when a client opens a new connection but before it is authenticated, allowing for a denial of service.",T2047
"Windows NT Terminal Server performs extra work when a client opens a new connection but before it is authenticated, allowing for a denial of service.",T2134
